Entity,citation,identifier,title,label
http://www.mycorrhizas.info,"Brundrett, Mark. Mycorrhizal associations: the web resource. 2008. Retrieved: 2022 from http://www.mycorrhizas.info/",url:www.mycorrhizas.info+D75B2C2:C75C2:D77B2C2:C75C2:D64C2:D60C2:D59C2:D60C2:E63C2:D64B2C2:C75C2:I57C2:E56C2:E52C2:D51C2:D50,Mycorrhizal Associations: The Web Resource,Brundrett 2008
http://doi.org/10.1002/ajb2.1538 ,"Schönenberger, Juerg, et al. Phylogenetic analysis of fossil flowers using an angiospermwide data set: proofofconcept and challenges ahead. American journal of botany 107.10 (2020): 1433-1448.",doi:10.1002/ajb2.1538,Phylogenetic analysis of fossil flowers using an angiosperm-wide data set: proof-of-concept and challenges ahead,Schönenberger 2020
http://doi.org/10.1002/ece3.1173,"Walker, Anthony P., et al. The relationship of leaf photosynthetic traits“Vcmax and Jmax“to leaf nitrogen, leaf phosphorus, and specific leaf area: a metaanalysis and modeling study. Ecology and evolution 4.16 (2014): 3218-3235.",doi:10.1002/ece3.1173,"The relationship of leaf photosynthetic traits “ Vcmax and Jmax “ to leaf nitrogen, leaf phosphorus, and specific leaf area: a meta-analysis and modeling study",Walker 2014
http://doi.org/10.1007/BF00317209,"Poorter, H., Remkes, C. Leaf area ratio and net assimilation rate of 24 wild species differing in relative growth rate. Oecologia 83, 553-“559 (1990).",doi:10.1007/BF00317209,Leaf area ratio and net assimilation rate of 24 wild species differing in relative growth rate,Poorter & Remkes 1990
http://doi.org/10.1007/s004420050337,"Gamon, JAm, L. Serrano, and J. S. Surfus. The photochemical reflectance index: an optical indicator of photosynthetic radiation use efficiency across species, functional types, and nutrient levels. Oecologia 112 (1997): 492-501.",doi:10.1007/s004420050337,"The photochemical reflectance index: an optical indicator of photosynthetic radiation use efficiency across species, functional types, and nutrient levels",Gamon 1997
http://doi.org/10.1007/s11284-010-0712-4 ,"Niinemets, Ülo. A review of light interception in plant stands from leaf to canopy in different plant functional types and in species with varying shade tolerance. Ecological Research 25.4 (2010): 693-714.",doi:10.1007/s11284-010-0712-4,A review of light interception in plant stands from leaf to canopy in different plant functional types and in species with varying shade tolerance,Niinemets 2010
http://doi.org/10.1007/978-1-4684-7747-4_8,"Bradbeer, J. W., and J. W. Bradbeer. Seed viability and vigour. Seed dormancy and germination (1988): 95-109.",doi:10.1007/978-1-4684-7747-4_8,Seed Viability and Vigour,Bradbeer 1988
http://doi.org/10.1007/978-3-662-04931-0,"Tyree, Melvin T., and Martin H. Zimmermann. Xylem structure and the ascent of sap. Springer Science & Business Media, 2013.",doi:10.1007/978-3-662-04931-0,Xylem structure and the ascent of sap.,Tyree & Zimmerman 2002
http://doi.org/10.1016/B978-0-12-380868-4.00004-1,"Ogburn, R. Matthew, and Erika J. Edwards. The ecological water-use strategies of succulent plants. Advances in botanical research. Vol. 55. Academic Press, 2010. 179-225.",doi:10.1016/B978-0-12-380868-4.00004-1,The Ecological Water-Use Strategies of Succulent Plants,Ogburn & Edwards 2010
http://doi.org/10.1016/j.ppees.2007.01.001,"Hanley, Mick E., et al. Plant structural traits and their role in anti-herbivore defence. Perspectives in Plant Ecology, Evolution and Systematics 8.4 (2007): 157-178.",doi:10.1016/j.ppees.2007.01.001,Plant structural traits and their role in anti-herbivore defence,Hanley 2007
http://doi.org/10.1016/j.scitotenv.2015.04.002,"Clarke, Peter J., et al. A synthesis of postfire recovery traits of woody plants in Australian ecosystems. Science of the Total Environment 534 (2015): 31-42.",doi:10.1016/j.scitotenv.2015.04.002,A synthesis of postfire recovery traits of woody plants in Australian ecosystems,Clarke 2015
http://doi.org/10.1016/S0169-5347(03)00061-2,"Falster, Daniel S., and Mark Westoby. Plant height and evolutionary games. Trends in Ecology & Evolution 18.7 (2003): 337-343.",doi:10.1016/S0169-5347(03)00061-2,Plant height and evolutionary games,Falster 2003a
http://doi.org/10.1017/CBO9780511845727,"Jones, H. (2014). Plants and Microclimate, A Quantitative Approach to Environmental Plant Physiology. (3 ed.) Cambridge University Press.",doi:10.1017/CBO9780511845727,Plants and Microclimate: A Quantitative Approach to Environmental Plant Physiology,Jones 1992
http://doi.org/10.1023/A1009875226637,"Casanova, M.T., Brock, M.A. How do depth, duration and frequency of flooding influence the establishment of wetland plant communities?. Plant Ecology 147, 237-“250 (2000).",doi:10.1023/A:1009875226637,"How do depth, duration and frequency of flooding influence the establishment of wetland plant communities?",Casanova & Brock 2000
http://doi.org/10.1038/s41597-019-0189-0,"Kissling, W. Daniel, et al. PalmTraits 1.0, a species-level functional trait database of palms worldwide. Scientific Data 6.1 (2019): 1-13.",doi:10.1038/s41597-019-0189-0,"PalmTraits 1.0, a species-level functional trait database of palms worldwide",Kissling 2019
http://doi.org/10.1038/sdata.2018.135 ,"Tavşanoğlu, Çağatay , and Juli G. Pausas. A functional trait database for Mediterranean Basin plants. Scientific Data 5.1 (2018): 1-18.",doi:10.1038/sdata.2018.135,Data Descriptor: A functional trait database for Mediterranean Basin plants,Tavşanoğlu & Pausas 2018
http://doi.org/10.1046/j.1365-2435.2001.00522.x,"Wright, I. J., and K. Cannon. Relationships between leaf lifespan and structural defences in a low-nutrient, sclerophyll flora. Functional ecology 15.3 (2001): 351-359.",doi:10.1046/j.1365-2435.2001.00522.x,"Relationships between leaf lifespan and structural defences in a low-nutrient, sclerophyll flora",Wright & Cannon 2001
http://doi.org/10.1046/j.1365-3040.2002.00891.x,"Medlyn, B. E., et al. Temperature response of parameters of a biochemically based model of photosynthesis. II. A review of experimental data. Plant, Cell & Environment 25.9 (2002): 1167-1179.",doi:10.1046/j.1365-3040.2002.00891.x,Temperature response of parameters of a biochemically based model of photosynthesis. II. A review of experimental data,Medlyn 2002
http://doi.org/10.1046/j.1442-9993.2001.01154.x,"Sanson, G., et al. Measurement of leaf biomechanical properties in studies of herbivory: opportunities, problems and procedures. Austral Ecology 26.5 (2001): 535-546.",doi:10.1046/j.1442-9993.2001.01154.x,"Measurement of leaf biomechanical properties in studies of herbivory: Opportunities, problems and procedures",Sanson 2001
http://doi.org/10.1046/j.1469-8137.2003.00765.x,"Falster, Daniel S., and Mark Westoby. Leaf size and angle vary widely across species: what consequences for light interception?. New phytologist 158.3 (2003): 509-525.",doi:10.1046/j.1469-8137.2003.00765.x,Leaf size and angle vary widely across species: what consequences for light interception?,Falster 2003b
http://doi.org/10.1071/BT02124,"Cornelissen, J. H. C., et al. A handbook of protocols for standardised and easy measurement of plant functional traits worldwide. Australian journal of Botany 51.4 (2003): 335-380.",doi:10.1071/BT02124,A handbook of protocols for standardised and easy measurement of plant functional traits worldwide,Cornellison 2003
http://doi.org/10.1071/BT06106,"Merritt, D. J., et al. Seed dormancy and germination stimulation syndromes for Australian temperate species. Australian Journal of Botany 55.3 (2007): 336-344.",doi:10.1071/BT06106,Seed dormancy and germination stimulation syndromes for Australian temperate species,Merritt 2007
http://doi.org/10.1071/BT11284,"Curtis, Ellen M., Andrea Leigh, and Scott Rayburg. Relationships among leaf traits of Australian arid zone plants: alternative modes of thermal protection. Australian Journal of Botany 60.6 (2012): 471-483.",doi:10.1071/BT11284,Relationships among leaf traits of Australian arid zone plants: alternative modes of thermal protection,Curtis 2012
http://doi.org/10.1071/BT12225,"Pérez-Harguindeguy N., et al. New handbook for standardised measurement of plant functional traits worldwide. Aust. Bot. 61, 167-“234. (2013).",doi:10.1071/BT12225,New handbook for standardised measurement of plant functional traits worldwide,Pérez-Harguindeguy 2013
http://doi.org/10.1071/BT20048,"Wigley, Benjamin J., et al. A handbook for the standardised sampling of plant functional traits in disturbance-prone ecosystems, with a focus on open ecosystems. Australian Journal of Botany 68.8 (2020): 473-531.",doi:10.1071/BT20048,"A handbook for the standardised sampling of plant functional traits in disturbance-prone ecosystems, with a focus on open ecosystems",Wigley 2020
http://doi.org/10.1071/9780643109865,"Brooker, Ian, and Dean Nicolle. Atlas of leaf venation and oil gland patterns in the eucalypts. Csiro publishing, 2013.",doi:10.1071/9780643109865,Atlas of Leaf Venation and Oil Gland Patterns in the Eucalypts,Brooker & Nicolle 2013
http://doi.org/10.1079/SSR2003150,"Baskin, Jerry M., and Carol C. Baskin. A classification system for seed dormancy. Seed science research 14.1 (2004): 1-16.",doi:10.1079/SSR2003150,A classification system for seed dormancy,Baskin & Baskin 2004
http://doi.org/10.1080/014311697216810,"Jurgens, C. The modified normalized difference vegetation index (mNDVI) a new index to determine frost damages in agriculture based on Landsat TM data. International Journal of Remote Sensing 18.17 (1997): 3583-3594.",doi:10.1080/014311697216810,The modified normalized difference vegetation index (mNDVI) a new index to determine frost damages in agriculture based on Landsat TM data,Jurgens 1997
http://doi.org/10.1080/014311697217387 ,"Peñuelas, J., et al. Photochemical reflectance index and leaf photosynthetic radiation-use-efficiency assessment in Mediterranean trees. International Journal of Remote Sensing 18.13 (1997): 2863-2868.",doi:10.1080/014311697217387,Photochemical reflectance index and leaf photosynthetic radiation-use-efficiency assessment in Mediterranean trees,Peñuelas 1997
http://doi.org/10.1086/319579,"Burrows, G. E. Comparative anatomy of the photosynthetic organs of 39 xeromorphic species from subhumid New South Wales, Australia. International Journal of Plant Sciences 162.2 (2001): 411-430.",doi:10.1086/319579,"Comparative Anatomy of the Photosynthetic Organs of 39 Xeromorphic Species from Subhumid New South Wales, Australia",Burrows 2001
http://doi.org/10.1086/670400,"Carlquist, Sherwin. More woodiness/less woodiness: evolutionary avenues, ontogenetic mechanisms. International Journal of Plant Sciences 174.7 (2013): 964-991.",doi:10.1086/670400,"More Woodiness/Less Woodiness: Evolutionary Avenues, Ontogenetic Mechanisms",Carlquist 2013
http://doi.org/10.1093/jexbot/51.345.659,"Maxwell, Kate, and Giles N. Johnson. Chlorophyll fluorescence: a practical guide. Journal of experimental botany 51.345 (2000): 659-668.",doi:10.1093/jexbot/51.345.659,Chlorophyll fluorescence: a practical guide,Maxwell & Johnson 2000
http://doi.org/10.1093/jxb/36.10.1590,"Schulte, P. J., and T. M. Hinckley. A comparison of pressure-volume curve data analysis techniques. Journal of Experimental Botany 36.10 (1985): 1590-1602.",doi:10.1093/jxb/36.10.1590,A Comparison of Pressure-Volume Curve Data Analysis Techniques,Schulte & Hinckley 1985
http://doi.org/10.1093/pcp/pcv155,"Santos, Joaquim, et al. eHALOPH a database of salt-tolerant plants: helping put halophytes to work. Plant and Cell Physiology 57.1 (2016): e10-e10.",doi:10.1093/pcp/pcv155,eHALOPH a Database of Salt-Tolerant Plants: Helping put Halophytes to Work,Santos 2016
http://doi.org/10.1094/PHI-I-2004-0330-01,"Nickrent, D.L. and Musselman, L.J. 2004. Introduction to Parasitic Flowering Plants. The Plant Health Instructor. DOI: 10.1094/PHI-I-2004-0330-01. Updated 2016",doi:10.1094/PHI-I-2004-0330-01,Introduction to Parasitic Flowering Plants,Nickrent & Musselman 2004
http://doi.org/10.1111/geb.12346,"Chen, Si-Chong, and Angela T. Moles. A mammoth mouthful? A test of the idea that larger animals ingest larger seeds. Global Ecology and Biogeography 24.11 (2015): 1269-1280.",doi:10.1111/geb.12346,A mammoth mouthful? A test of the idea that larger animals ingest larger seeds,Chen 2015
http://doi.org/10.1111/geb.13065,"Delmas, Chloe EL, Robert M. Kooyman, and Maurizio Rossetto. Evolutionary constraints and adaptation shape the size and colour of rain forest fruits and flowers at continental scale. Global ecology and biogeography 29.5 (2020): 830-841.",doi:10.1111/geb.13065,Evolutionary constraints and adaptation shape the size and colour of rain forest fruits and flowers at continental scale,Delmas 2020
http://doi.org/10.1111/j.1365-2699.2012.02773.x,"Gallagher, Rachael V., and Michelle R. Leishman. A global analysis of trait variation and evolution in climbing plants. Journal of Biogeography 39.10 (2012): 1757-1771.",doi:10.1111/j.1365-2699.2012.02773.x,A global analysis of trait variation and evolution in climbing plants,Gallagher 2012
http://doi.org/10.1111/j.1365-2745.2007.01302.x,"Keith, David A., et al. Plant functional types can predict decade-scale changes in fire-prone vegetation. Journal of Ecology 95.6 (2007): 1324-1337.",doi:10.1111/j.1365-2745.2007.01302.x,Plant functional types can predict decade-scale changes in fire-prone vegetation,Keith 2007
http://doi.org/10.1111/j.1469-8137.1991.tb00035.x,"Tyree, Melvin T., and Frank W. Ewers. The hydraulic architecture of trees and other woody plants. New Phytologist 119.3 (1991): 345-360.",doi:10.1111/j.1469-8137.1991.tb00035.x,The hydraulic architecture of trees and other woody plants,Tyree & Ewers 1991
http://doi.org/10.1111/j.1469-8137.1992.tb01131.x,"Choong, M. F., et al. Leaf fracture toughness and sclerophylly: their correlations and ecological implications. New Phytologist 121.4 (1992): 597-610.",doi:10.1111/j.1469-8137.1992.tb01131.x,Leaf fracture toughness and sclerophylly: their correlations and ecological implications,Choong 1992
http://doi.org/10.1111/j.1654-1103.2012.01434.x,"Gosper, Carl R., Colin J. Yates, and Suzanne M. Prober. Changes in plant species and functional composition with time since fire in two mediterranean climate plant communities. Journal of Vegetation Science 23.6 (2012): 1071-1081.",doi:10.1111/j.1654-1103.2012.01434.x,Changes in plant species and functional composition with time since fire in two mediterranean climate plant communities,Gosper 2012
http://doi.org/10.1111/jbi.14375,"Stephens, Ruby E., et al. Climate shapes community flowering periods across biomes. Journal of Biogeography (2022).",doi:10.1111/jbi.14375,Climate shapes community flowering periods across biomes,Stephens 2022
http://doi.org/10.1111/jipb.12534,"Venturas, Martin D., John S. Sperry, and Uwe G. Hacke. Plant xylem hydraulics: what we understand, current research, and future challenges. Journal of integrative plant biology 59.6 (2017): 356-389.",doi:10.1111/jipb.12534,"Plant xylem hydraulics: What we understand, current research, and future challenges",Venturas 2017
http://doi.org/10.1111/jvs.12375,"Jiménez-Alfaro, Borja, et al. Seed germination traits can contribute better to plant community ecology. Journal of Vegetation Science 27.3 (2016): 637-645.",doi:10.1111/jvs.12375,Seed germination traits can contribute better to plant community ecology,Jiménez-Alfaro 2016
http://doi.org/10.1111/nph.12253,"Sack, Lawren, and Christine Scoffoni. Leaf venation: structure, function, development, evolution, ecology and applications in the past, present and future. New phytologist 198.4 (2013): 983-1000.",doi:10.1111/nph.12253,"Leaf venation: structure, function, development, evolution, ecology and applications in the past, present and future",Sack 2013
http://doi.org/10.1111/nph.14982,"Pausas, Juli G., et al. Unearthing belowground bud banks in fire-prone ecosystems. New Phytologist 217.4 (2018): 1435-1448.",doi:10.1111/nph.14982,Unearthing belowground bud banks in fire-prone ecosystems,"Pausus, Lamont et al. 2018"
http://doi.org/10.1111/nph.15480,"Moore, Nicholas A., James S. Camac, and John W. Morgan. Effects of drought and fire on resprouting capacity of 52 temperate Australian perennial native grasses. New Phytologist 221.3 (2019): 1424-1433.",doi:10.1111/nph.15480,Effects of drought and fire on resprouting capacity of 52 temperate Australian perennial native grasses,Moore 2019
http://doi.org/10.1111/nph.15502,"Saatkamp, Arne, et al. A research agenda for seed-trait functional ecology. New Phytologist 221.4 (2019): 1764-1775.",doi:10.1111/nph.15502,A research agenda for seed-trait functional ecology,Saatkamp 2018
http://doi.org/10.1111/oik.03886,"Grootemaat, Saskia, et al. Scaling up flammability from individual leaves to fuel beds. Oikos 126.10 (2017): 1428-1438.",doi:10.1111/oik.03886,Scaling up flammability from individual leaves to fuel beds,Grootemaat 2017
http://doi.org/10.1111/1365-2745.12035,"Lawes, Michael J., Jeremy J. Midgley, and Peter J. Clarke. Costs and benefits of relative bark thickness in relation to fire damage: a savanna/forest contrast. Journal of Ecology 101.2 (2013): 517-524.",doi:10.1111/1365-2745.12035,Costs and benefits of relative bark thickness in relation to fire damage: a savanna/forest contrast,Lawes 2013
http://doi.org/10.1139/x87-131,"Gale, M. R., and D. F. Grigal. Vertical root distributions of northern tree species in relation to successional status. Canadian Journal of Forest Research 17.8 (1987): 829-834.",doi:10.1139/x87-131,Vertical root distributions of northern tree species in relation to successional status,Gale and Grigal 1987
http://doi.org/10.1201/b10812,"Kirkham, Mary Beth. Elevated carbon dioxide: impacts on soil and plant water relations. CRC press, 2016.",doi:10.1201/b10812,Elevated Carbon Dioxide: Impacts on Soil and Plant Water Relations,Kirkham 2016
http://doi.org/10.13140/2.1.2761.5367,"Brock, M. A., and M. T. Casanova. Plant life at the edge of wetlands: ecological responses to wetting and drying. Frontiers in ecology: building the links (1997): 181.",doi:10.13140/2.1.2761.5367,Plant life at the edge of wetlands: ecological responses to wetting and drying patterns,Brock and Casanova 1997
http://doi.org/10.1890/0012-9658%281997%29078%5B2542%3ALPOWSI%5D2.0.CO%3B2,"Williams, Rikkaine J., et al. Leaf phenology of woody species in a north Australian tropical savanna. Ecology 78.8 (1997): 2542-2558.",doi:10.1890/0012-9658%281997%29078%5B2542%3ALPOWSI%5D2.0.CO%3B2,Leaf phenology of woody species in a north Australian tropical savanna,Williams 1997
http://doi.org/10.2307/1217034,"Systematics Association Committee for Descriptive Biological Terminology. Terminology of simple symmetrical plane shapes. International Bureau for Plant Taxonomy and Nomenclature, 1962.",doi:10.2307/1217034,Terminology of Simple Symmetrical Plane Shapes,Systematics Association Committee for DescriptiveTerminology 1962
http://doi.org/10.2307/1932458,"Cannon, William Austin. A tentative classification of root systems. Ecology (1949): 542-548.",doi:10.2307/1932458,A Tentative Classification of Root Systems,Canon 1949
http://doi.org/10.2307/1938268,"Westoby, Mark, Barbara Rice, and Jocelyn Howell. Seed Size and Plant Growth Form as Factors in Dispersal Spectra: Ecological Archives E071-002. Ecology 71.4 (1990): 1307-1315.",doi:10.2307/1938268,Seed Size and Plant Growth Form as Factors in Dispersal Spectra,Westoby 1990
http://doi.org/10.2307/2441319,"Hickey, Leo J. Classification of the architecture of dicotyledonous leaves. American journal of botany 60.1 (1973): 17-33.",doi:10.2307/2441319,Classification of the Architecture of Dicotyledonous Leaves,Hickey 1973
http://doi.org/10.3389/fpls.2013.00056,"Scholz, Alexander, et al. How to quantify conduits in wood?. Frontiers in plant science 4 (2013): 56.",doi:10.3389/fpls.2013.00056,How to quantify conduits in wood?,Scholz 2013
http://doi.org/10.3732/ajb.0900178,"Zanne, Amy E., et al. Angiosperm wood structure: global patterns in vessel anatomy and their relation to wood density and potential conductivity. American Journal of Botany 97.2 (2010): 207-215.",doi:10.3732/ajb.0900178,Angiosperm wood structure: Global patterns in vessel anatomy and their relation to wood density and potential conductivity,Zanne 2010
http://doi.org/10.4236/ajps.2013.45A005,"Lamont, Byron, and Philip Groom. Seeds as a source of carbon, nitrogen, and phosphorus for seedling establishment in temperate regions: a synthesis. American Journal of Plant Sciences 4.5A (2013): 30-40.",doi:10.4236/ajps.2013.45A005,"Seeds as a Source of Carbon, Nitrogen, and Phosphorus for Seedling Establishment in Temperate Regions: A Synthesis",Lamont & Groom 2013
http://doi.org/10.5091/plecevo.2016.1097,"Těšitel, Jakub. Functional biology of parasitic plants: a review. Plant Ecology and Evolution 149.1 (2016): 5-20.",doi:10.5091/plecevo.2016.1097,Functional biology of parasitic plants: a review,Těšitel 2016
http://doi.org/www.rbgsyd.nsw.gov.au/science/rainforest-conservation-research/rainforest-seed-conservation-project/what-are-we-testing/seed-viability-germination,"Royal Botanic Garden Sydney. Seed viability and germination. Retrieved November 1, 2021, from https://www.rbgsyd.nsw.gov.au/science/rainforest-conservation-research/rainforest-seed-conservation-project/what-are-we-testing/seed-viability-germination",url:www.rbgsyd.nsw.gov.au/science/rainforest-conservation-research/rainforest-seed-conservation-project/what-are-we-testing/seed-viability-germination,Seed viability and germination,Royal Botanic Garden Sydney 2021
http://en.wikipedia.org/wiki/Glossary_of_leaf_morphology,"Wikimedia Foundation. (2022, August 31). Glossary of leaf morphology. Wikipedia. Retrieved August 31, 2022, from https://en.wikipedia.org/wiki/Glossary_of_leaf_morphology",url:en.wikipedia.org/wiki/Glossary_of_leaf_morphology,Glossary of leaf morphology,Wikipedia 2022 Glossary of leaf morphology
http://en.wikipedia.org/wiki/Leaf#Arrangement_on_the_stem,"Wikimedia Foundation. (2022, August 31). Leaf arrangement on the stem. Wikipedia. Retrieved August 31, 2022, from https://en.wikipedia.org/wiki/Phyllotaxis",url:en.wikipedia.org/wiki/Leaf#Arrangement_on_the_stem,Leaf arrangement on the stem,Wikipedia 2022 Leaf arrangement on the stem
http://hdl.handle.net/102.100.100/248872?index=1,"Gill, A.M.; Bradstock, R.A. A national register for the fire responses of plant species. Cunninghamia. 1992; 2(4):653-660. http://hdl.handle.net/102.100.100/248872?index=1",procite:0d693cc0-5963-4818-a4ce-651aa6dbebc1,A national register for the fire responses of plant species,Gill & Bradstock 1992
http://jeffollerton.co.uk/2019/09/05/what-exactly-is-a-pollination-system/,"Ollerton, Jeff. What exactly is a pollination system?. Published: September 05, 2019, https://jeffollerton.co.uk/2019/09/05/what-exactly-is-a-pollination-system/.",url:jeffollerton.co.uk/2019/09/05/what-exactly-is-a-pollination-system/,What exactly is a pollination system?,Ollerton 2019
http://openlibrary.org/books/OL16122328M,"Raunkiaer, Christen. The life forms of plants and statistical plant geography; being the collected papers of C. RaunkiÃ¦r. The life forms of plants and statistical plant geography; being the collected papers of C. Raunkiaer. (1934)",url:openlibrary.org/books/OL16122328M/Life_forms_of_plants_and_statistical_plant_geography,Life forms of plants and statistical plant geography,Raunkiaer 1934
http://uol.de/en/landeco/research/leda/standards,LEDA Data Standards. UNI-INFO - university newspaper. Retrieved  September 2021. uol.de/en/landeco/research/leda/standards.,url:uol.de/en/landeco/research/leda/standards,LEDA Data Standards,LEDA Data Standards 2005
http://www.indexdatabase.de/,"Henrich, Verena and Brüser, Katharina. Index database: A database for remote sensing indices. IDB - Index DataBase. (n.d.). Retrieved January 26, 2023, from http://www.indexdatabase.de/",url:www.indexdatabase.de/,Index Database: A database for remote sensing indices,Henrich & Brüser 2022
http://www.worldbotanical.com/fruit_types.htm,"Spjut, Richard W. A Systematic Treatment of Fruit Types (January 2021). The World Botanical Associates. Retrieved: September 2021. www.worldbotanical.com/fruit_types.htm.",url:www.worldbotanical.com/fruit_types.htm,A Systematic Treatment of Fruit Types,Spjut 2003
https://data.kew.org/sid/sidsearch.html,"Seed Information Database: Royal Botanic Gardens, Kew. Royal Botanic Gardens, Kew, Sep. 2021, http://data.kew.org/sid/sidsearch.html.",url:data.kew.org/sid/sidsearch.html,"Seed Information Database: Royal Botanic Gardens, Kew",Kew Seed Information Database 2022
https://github.com/traitecoevo/APD#ISBN_1842464221,"Beentje, Henk Jaap. The Kew plant glossary: an illustrated dictionary of plant terms. Royal Botanic Gardens, 2010.",ISBN:1842464221,The Kew plant glossary: an illustrated dictionary of plant terms,Beentje 2010
https://github.com/traitecoevo/APD#ISBN_9780128126288,"Simpson, Michael G. Plant systematics. Academic press, 2019.",ISBN:9780128126288,Plant Systematics,Simpson 2019
https://github.com/traitecoevo/APD#ISBN_9780801475184,"Ellis, Beth, et al. Manual of leaf architecture. 2009.",ISBN:9780801475184,Manual of Leaf Architecture,Ellis 2009
https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/,"Evans, John. 2010. Gas Exchange Measurements of Photosynthetic Response Curves. PROMETHEUS. May 19, 2010. https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/.",url:https://prometheusprotocols.net/function/gas-exchange-and-chlorophyll-fluorescence/gas-exchange-measurements-of-photosynthetic-response-curves/,Gas Exchange Measurements of Photosynthetic Response Curves,Evans 2010
https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/,"Choat, Brendan. 2010. Hydraulic Conductance and Conductivity. PROMETHEUS. 2010. https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/.",url:https://prometheusprotocols.net/function/water-relations/hydraulic-conductance-and-conductivity/,Hydraulic Conductance and Conductivity,Choat 2010
https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,"Sack, Lawren, Jessica Pasquet-Kok, and Megan Bartlett. Leaf pressure-volume curve parameters: protocol. PROMETHEUS. (2022, March 27). Retrieved December 15, 2022, from https://prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/",url:prometheusprotocols.net/function/water-relations/pressure-volume-curves/leaf-pressure-volume-curve-parameters/,Leaf pressure-volume curve parameters: protocol,Sack 2022
https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/,"Cochard, Hervé. 2010. Xylem Vulnerability Curves. Prometheus. 2010. https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/.",url:https://prometheusprotocols.net/function/water-relations/xylem-vulnerability-curves/,Xylem Vulnerability Curves,Cochard 2010
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8v6xPMAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=Z8v6xPMAAAAJ:YOwf2qJgpHMC,"Wells, Jessie Anne. Phylogeny and inter-relations of ecological traits and seed dispersal in rainforest plants: exploring aspects of functional diversity in primary and secondary rainforests in Australias Wet Tropics. Ph.D. Thesis, University of Queensland (2012).",url:scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8v6xPMAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=Z8v6xPMAAAAJ:YOwf2qJgpHMC,Phylogeny and inter-relations of ecological traits and seed dispersal in rainforest plants: Exploring aspects of functional diversity in primary and secondary rainforests in Australias Wet Tropics.,Wells 2012
https://www.wiley.com/en-us/Water+Use+Efficiency+in+Plant+Biology-p-9781405149990,"Jones, Hamlyn G. 2009. What Is Water Use Efficiency? In Water Use Efficiency in Plant Biology. John Wiley & Sons.",ISBN:978-1-405-14999-0,What is Water Use Efficiency?,Jones 2009
